state3,steps,sum_pnl,mean_pnl,mean_option_pnl,mean_hedge_pnl,mean_agent_minus_bs,mean_delta_gap,year,portfolio,share_negative_steps,share_negative_loss
spot_up/option_up/iv_down,1545,-100.03153219925909,-0.0647453282843101,0.41960383325795486,-0.4843491614966746,0.033760044224767194,-0.04202644938374579,2022,agent,0.16318124207858048,0.1350622885122298
spot_up/option_up/iv_flat,62,-4.532982047490919,-0.07311261366920838,0.35665947402605047,-0.42977208929081884,0.01713627721559368,-0.029835952948582538,2022,agent,0.00654837346852556,0.006120419388352739
spot_up/option_up/iv_up,348,-9.05805670748855,-0.026028898584737212,0.34620087807081074,-0.3722297767412327,0.011079171881425437,-0.03117702675364179,2022,agent,0.036755386565272496,0.012230162244740845
spot_down/option_down/iv_down,2734,-222.551206620044,-0.08140131917338844,-0.41843285192685314,0.33703153262950986,-0.00885344728600141,-0.01957647587906498,2023,agent,0.31868516144072734,0.40791222097943436
spot_down/option_down/iv_flat,211,-10.859288119624793,-0.051465820472155414,-0.36239970261949656,0.31093388255153426,-0.02186571205346572,-0.028325079845513305,2023,agent,0.024594941135330457,0.019903897185757972
spot_down/option_down/iv_up,1146,-33.821345887936204,-0.02951251822682042,-0.34851746306522474,0.3190049448272849,-0.02491156155707616,-0.03405619659550322,2023,agent,0.13358200256440145,0.061990858316106616
spot_up/option_down/iv_down,804,-85.44260599761206,-0.10627189800698018,-0.06203097667682248,-0.044240921353848287,0.005356301912685448,-0.026744987408410435,2023,agent,0.09371721645879473,0.1566070285939202
spot_up/option_down/iv_flat,73,-5.08232478190615,-0.06962088742337193,-0.03000232102277591,-0.039618566398057366,0.009182265156646711,-0.0671428032948078,2023,agent,0.00850915025061196,0.009315350031175432
spot_up/option_down/iv_up,228,-14.699858949325877,-0.06447306556721875,-0.042274074787619006,-0.02219899081528909,0.0022935406933363286,-0.03535715951584536,2023,agent,0.026576524070404475,0.026943246919084025
spot_up/option_flat/iv_down,7,-0.50654862081159,-0.07236408868737,0.0,-0.0723640883615311,0.005193561223842855,-0.023513639748970343,2023,agent,0.0008159459144422427,0.0009284486751945346
spot_up/option_flat/iv_up,4,-0.0892927581821804,-0.0223231895455451,0.0,-0.022323189340423454,0.00569318825501787,-0.05682355575613035,2023,agent,0.0004662548082527101,0.00016366393991140143
spot_up/option_up/iv_down,2009,-128.80373257221802,-0.06411335618328423,0.3599572616110842,-0.4240706178725787,0.01480895515563672,-0.02301341110139081,2023,agent,0.23417647744492365,0.2360832701018594
spot_up/option_up/iv_flat,235,-14.819037617528409,-0.06305973454267408,0.2854798942356739,-0.34853962940850186,-0.011273599508665083,0.008525264196276871,2023,agent,0.027392469984846717,0.027161688490254042
spot_up/option_up/iv_up,1128,-28.910781669981066,-0.025630125593954847,0.5096784931604553,-0.5353086186553835,-0.012592274875407965,0.011031029372124865,2023,agent,0.13148385592726425,0.052990326767302094
spot_down/option_down/iv_down,227,-17.544729638377525,-0.0772895578783151,-0.28990189762941027,0.21261233975109028,-0.01585070548525123,-0.03245528738791263,2015,bs,0.24593716143011918,0.25456916333514573
